Time(s),ADC
3.9269,379
3.9314,692
3.9354,557
3.9399,24
3.9434,0
3.9474,373
3.9519,692
3.9559,551
3.9595,28
3.9635,0
3.9675,387
3.9720,691
3.9760,546
3.9795,18
3.9835,0
3.9875,385
3.9920,692
3.9960,556
3.9995,31
4.0035,0
4.0075,376
4.0120,692
4.0160,567
4.0195,36
4.0235,0
4.0275,374
4.0320,692
4.0360,578
4.0396,63
4.0441,0
4.0471,365
4.0516,692
4.0556,576
4.0601,49
4.0641,0
4.0671,374
4.0716,691
4.0756,570
4.0801,41
4.0841,0
4.0881,360
4.0917,692
4.0956,573
4.1002,47
4.1042,0
4.1082,365
4.1122,692
4.1162,580
4.1198,52
4.1237,0
4.1267,349
4.1313,692
4.1353,579
4.1398,66
4.1438,0
4.1472,363
4.1517,691
4.1557,590
4.1602,67
4.1642,0
4.1682,354
4.1717,692
4.1757,579
4.1802,54
4.1842,0
4.1882,347
4.1918,692
4.1958,580
4.1993,60
4.2043,0
4.2083,350
4.2123,692
4.2163,576
4.2198,63
4.2238,0
4.2268,354
4.2313,692
4.2353,586
4.2398,60
4.2438,0
4.2483,343
4.2518,691
4.2558,589
4.2593,76
4.2633,0
4.2673,340
4.2718,691
4.2758,585
4.2803,61
4.2833,0
4.2873,335
4.2918,691
4.2958,581
4.2993,75
4.3033,0
4.3073,333
4.3118,691
4.3158,585
4.3193,74
4.3243,0
4.3283,331
4.3314,692
4.3354,587
4.3395,65
4.3440,0
4.3470,335
4.3515,692
4.3555,572
4.3600,53
4.3640,0
4.3670,340
4.3714,691
4.3763,574
4.3799,63
4.3841,0
4.3883,337
4.3913,692
4.3956,577
4.4001,69
4.4041,0
4.4071,313
4.4116,692
4.4156,577
4.4201,76
4.4241,0
4.4271,313
4.4316,691
4.4356,578
4.4401,69
4.4441,0
4.4474,301
4.4519,692
4.4559,594
4.4604,91
4.4644,0
4.4674,309
4.4719,691
4.4759,592
4.4794,89
4.4834,0
4.4874,318
4.4920,692
4.4960,596
4.4995,83
4.5035,0
4.5075,308
4.5120,692
4.5160,590
4.5195,90
4.5235,0
4.5275,300
4.5320,692
4.5360,593
4.5403,87
4.5433,0
4.5469,309
4.5514,692
4.5554,607
4.5600,119
4.5640,0
4.5669,310
4.5715,691
4.5755,605
4.5800,112
4.5840,0
4.5870,311
4.5915,691
4.5955,607
4.6000,119
4.6040,0
4.6070,299
4.6116,692
4.6156,610
4.6201,119
4.6241,0
4.6281,313
4.6324,692
4.6354,592
4.6399,99
4.6429,0
4.6474,306
4.6519,692
4.6560,609
4.6595,107
4.6635,0
4.6675,308
4.6720,692
4.6760,611
4.6795,120
4.6835,0
4.6875,319
4.6920,692
4.6960,620
4.6995,131
4.7035,0
4.7075,294
4.7120,691
4.7160,617
4.7195,113
4.7235,0
4.7275,283
4.7320,692
4.7360,620
4.7395,122
4.7435,0
4.7477,287
4.7522,692
4.7562,624
4.7597,145
4.7637,0
4.7682,277
4.7722,691
4.7762,616
4.7797,129
4.7837,0
4.7883,282
4.7923,691
4.7963,623
4.7998,141
4.8038,0
4.8068,278
4.8115,690
4.8155,618
4.8200,132
4.8240,0
4.8270,265
4.8315,691
4.8355,622
4.8400,136
4.8430,0
4.8475,250
4.8520,692
4.8560,615
4.8595,138
4.8635,0
4.8675,257
4.8716,692
4.8758,621
4.8803,138
4.8843,0
4.8883,259
4.8918,691
4.8958,621
4.8993,129
4.9034,0
4.9084,251
4.9124,691
4.9164,629
4.9199,149
4.9239,0
4.9284,254
4.9324,691
4.9364,629
4.9399,153
4.9444,0
4.9474,260
4.9520,692
4.9560,628
4.9604,146
4.9634,0
4.9684,254
4.9725,692
4.9755,632
4.9800,165
4.9840,0
4.9870,254
4.9925,692
4.9955,634
5.0000,166
5.0040,0
5.0070,267
5.0115,692
5.0155,632
5.0200,159
5.0240,0
