Alpha,Beta,AlphaBetaRatio,Label
1.995622264913714e-06,1.3198520010123371e-06,1.512004575803238,Calm
2.043091987479791e-06,4.522954263072181e-06,0.4517162607989842,Not Calm
7.543234409614218e-07,1.1837093531102197e-06,0.6372539331377438,Calm
1.6926047681846878e-05,5.922399872719065e-06,2.8579711005018424,Not Calm
1.206123423957083e-06,3.471866077902448e-06,0.3473991786819643,Not Calm
1.2832175120945774e-06,2.556127572401704e-06,0.5020162240528876,Not Calm
1.5389220106273537e-06,2.9050308031465657e-06,0.5297437841142614,Not Calm
1.306156743319758e-05,6.518027015119186e-06,2.00391428309518,Not Calm
9.711513417243929e-07,1.8593892146510208e-06,0.5222958883875548,Not Calm
1.2335084842904438e-06,1.8319514965129869e-06,0.673330318318119,Calm
1.261585290816367e-06,2.4421259484781666e-06,0.5165930494299591,Not Calm
3.485433955794932e-06,1.6198394731870705e-06,2.151715656698539,Calm
1.455382898710643e-06,2.834003306943969e-06,0.5135431194256603,Not Calm
2.4883859638389385e-06,3.858837584471023e-06,0.6448537699158052,Not Calm
2.9946334140463267e-06,2.866307458011052e-06,1.0447704783646348,Not Calm
2.738475536812685e-06,4.145604451875692e-06,0.6605732815569639,Calm
2.2102146061960782e-06,1.4484084206450118e-06,1.525960892447598,Calm
3.349259953569333e-06,3.809979629647824e-06,0.8790755539758416,Not Calm
7.101721347794093e-06,1.5403484649528366e-06,4.610464131576577,Calm
5.373674355120244e-07,1.914658097369543e-06,0.2806597356730623,Calm
1.5488099589211778e-06,1.48348559942426e-06,1.0440343738572655,Not Calm
9.78859618938586e-07,1.5599953090597384e-06,0.6274760015327081,Not Calm
3.3871312866042254e-06,3.3177245002858626e-06,1.0209199969172795,Not Calm
5.596003704395049e-07,1.3926718854118717e-06,0.4018178124375703,Calm
1.1001387483295608e-06,2.362389021357369e-06,0.4656890708446693,Not Calm
2.9010632268575263e-06,2.1103508361398355e-06,1.374682909200078,Calm
9.198952359983852e-07,1.0299025748598709e-06,0.8931866551780847,Calm
1.551780375758386e-06,3.0957175970852747e-06,0.5012667748568025,Not Calm
4.1922351114432535e-06,7.658731589111191e-06,0.5473798190556212,Not Calm
6.538008276378368e-07,1.7332894120108692e-06,0.3772023431905305,Calm
1.1617703728122624e-06,3.630529335091432e-06,0.3200002714708829,Not Calm
1.0098528388185105e-06,1.6542489015114885e-06,0.6104600328861074,Calm
1.4816087333479363e-06,1.3096852689689367e-06,1.1312708239547875,Calm
1.5958165531849e-06,3.5253923092326504e-06,0.4526635373333106,Not Calm
2.5796631946904337e-06,3.965598129164449e-06,0.6505104931633525,Not Calm
2.383205855755376e-06,2.524129557211036e-06,0.9441693866097072,Not Calm
6.82368417449615e-06,1.5151284299448045e-06,4.5037001746081256,Calm
7.691230566119739e-07,1.0882220295493424e-06,0.7067703425655565,Calm
1.5555198403429236e-06,2.421315669402103e-06,0.6424275281409421,Not Calm
4.346873732793689e-06,5.091425210491914e-06,0.8537636424151089,Not Calm
1.8027020773843555e-06,2.936104279597184e-06,0.6139775381655298,Not Calm
2.42420014686514e-06,2.102025219427664e-06,1.1532688211634288,Calm
4.522567177338663e-06,4.287607389289523e-06,1.054799744173422,Not Calm
4.532120502554543e-06,3.970609129425759e-06,1.1414169349905243,Not Calm
5.664352698820622e-07,1.990756160477804e-06,0.2845327223531542,Calm
3.933462944476775e-06,3.6276536913762743e-06,1.084299461612743,Not Calm
2.134017515614428e-06,4.2971921180160815e-06,0.4966074257344716,Not Calm
1.1204578861938937e-06,1.2098146184392735e-06,0.9261401450408536,Calm
1.6009873145882586e-06,1.7171076946651297e-06,0.9323744338007192,Calm
1.3314112703372789e-06,1.7844943019921257e-06,0.7461000401351542,Not Calm
3.33853319519682e-06,1.2697026584639432e-06,2.629381905237325,Calm
1.41475414988479e-06,4.849874353031342e-06,0.2917094437715729,Not Calm
1.269214469755274e-06,8.474998305327745e-07,1.497598493863287,Calm
5.028101109867122e-07,2.0848989642091987e-06,0.2411676151306583,Not Calm
6.548239799587634e-07,1.060977325935716e-06,0.6171894195582825,Calm
2.460425590420734e-06,1.7506647986836797e-06,1.4054235809566298,Calm
3.104432256603936e-06,1.8840598935784235e-06,1.647735439401367,Calm
1.362497824366183e-06,3.1448738165866542e-06,0.4332440357956856,Not Calm
1.6408738721855791e-06,7.643305948739995e-07,2.146811711045112,Calm
1.7431034063461162e-06,2.488797594052813e-06,0.7003797377944295,Not Calm
3.653372042351097e-06,5.830438676343666e-06,0.6266032875320743,Not Calm
1.8909794538788328e-06,3.61672721157155e-06,0.5228427092396496,Not Calm
8.638962988917424e-07,2.206822057968824e-06,0.3914662243710212,Calm
1.7071586628763936e-06,1.7337599065699654e-06,0.9846569045732524,Calm
2.0744923663468963e-06,5.663147221390149e-06,0.3663143982044784,Not Calm
9.424028347790892e-07,2.2582213625006685e-06,0.4173208395015395,Calm
1.7625193099839155e-06,5.014198801390705e-06,0.3515056701571295,Not Calm
3.317495356515847e-06,4.8356789847573365e-06,0.6860454068545506,Not Calm
3.8847255492110455e-06,2.3000981035422377e-06,1.6889390688285957,Calm
1.8898339950190988e-06,3.998619391614518e-06,0.4726216250994678,Not Calm
8.017774477320654e-07,1.9884989334147805e-06,0.4032073813362327,Not Calm
9.263695084578612e-07,9.56362835368433e-07,0.9686381300053168,Calm
1.96382779260898e-06,9.897502138991765e-07,1.9841650600633567,Calm
1.0629255744676435e-06,1.617155788872194e-06,0.6572808765746242,Calm
