Window,Alpha,Beta,AlphaBetaRatio
72,8.08943877347565e-07,1.8221588074914945e-06,0.4439480653506876
73,1.652460638409606e-06,1.5339525653798204e-06,1.0772566738401341
74,2.5229377720517984e-06,1.7157410762701856e-06,1.4704653324127213
75,4.200984749147857e-06,1.2657201327108122e-06,3.319047110478162
76,3.933660609434279e-06,1.513741201613746e-06,2.5986348295473114
77,3.070859107574807e-06,3.1146355373952407e-06,0.9859449270083639
78,3.260983128301159e-06,2.774754425786888e-06,1.1752330577421757
79,4.137962757040827e-06,1.3480577797017728e-06,3.0695737373781244
80,3.6434771932048686e-06,1.2430937680181062e-06,2.93097535113039
81,1.8664220487287954e-06,3.30940159753613e-06,0.5639756897797953
82,1.3689141822236734e-06,3.400408345653916e-06,0.40257346855806053
83,1.4027267582012614e-06,2.024666083139774e-06,0.6928188158444215
84,2.0863055187588375e-06,2.658328970617413e-06,0.7848184110465005
85,2.229471960473509e-06,2.1475510127296784e-06,1.038146217369572
86,2.347579516589147e-06,1.9266098686750117e-06,1.2185027984952912
87,1.5901648058903449e-06,2.286112418316449e-06,0.695575945062834
88,1.131167913667308e-06,1.9861413311204426e-06,0.5695304236124938
89,2.1772357032071683e-06,2.8628110101311443e-06,0.7605237284271272
90,1.7174573780948444e-06,2.1629861186394236e-06,0.794021451776663
91,1.0166848773600492e-06,1.2556687661609914e-06,0.8096760107113298
92,1.4235687766606343e-06,1.4430465347633251e-06,0.986502335417835
93,2.7378541764350203e-06,2.0729192656933888e-06,1.3207722180724737
94,3.488353907519154e-06,2.6000631323732014e-06,1.3416420024905962
95,1.7634777235914186e-06,3.159117297322731e-06,0.5582185014421338
96,4.570209910210433e-07,2.9701663912342356e-06,0.1538705011173232
97,1.5927417555029758e-06,1.8536915306528012e-06,0.859226969085882
98,1.631175174475893e-06,1.5826694076565274e-06,1.0306480725442142
99,1.797846658760481e-06,2.0133423898960535e-06,0.8929661779253064
100,3.891545922208042e-06,2.2038626835703937e-06,1.76578420752762
101,3.6615837134276364e-06,2.7968109853213355e-06,1.3091995607300377
102,1.7925120387211008e-06,2.4564462437244436e-06,0.7297175923554137
103,1.5611539091492906e-06,9.966283395698007e-07,1.5664353973951515
104,1.978733969715328e-06,7.268756620456951e-07,2.722245458248586
105,1.752935919766579e-06,1.318108767300875e-06,1.32988715594094
106,2.254585894345065e-06,2.041490855470987e-06,1.104382068772439
107,1.8000180192177954e-06,2.221501972763432e-06,0.8102707273217802
108,2.291124188508617e-06,2.05340490220646e-06,1.1157683445903528
109,3.521219505438826e-06,1.983451104075254e-06,1.775299375015613
110,2.2069695654917105e-06,2.3903497931928346e-06,0.9232830993090012
111,1.143088813152447e-06,2.151443166689232e-06,0.531312576995236
112,2.2587644864342183e-06,1.9454357852181035e-06,1.161058362140176
113,2.8596259486023423e-06,3.4385381356637174e-06,0.8316400271798551
114,2.169222747604269e-06,3.2545564600686852e-06,0.6665187020779135
115,2.4619245849463216e-06,2.263921787217842e-06,1.0874600875553246
116,2.463056368954489e-06,3.4593553109532197e-06,0.7119986666752072
117,3.3731090558373288e-06,4.509071884352326e-06,0.7480716968702387
118,3.511424666438935e-06,3.28369585686924e-06,1.0693513709844058
119,2.0369746386581296e-06,2.1956115150312866e-06,0.9277482035017945
120,1.0229977271160542e-06,2.5690965970332434e-06,0.39819356278677787
121,4.0728193913210185e-07,2.088080909657807e-06,0.19505084177932877
122,1.002752794606277e-06,2.711779514524139e-06,0.3697766685070041
123,2.6354379315827238e-06,3.336201848462727e-06,0.7899515830545729
124,2.2693731598866626e-06,3.0277393879230496e-06,0.7495272442993826
125,1.2598535863068133e-06,2.7100488611539732e-06,0.4648822404516912
126,1.515445871929667e-06,2.403020247809084e-06,0.6306421568071892
127,2.085551126929201e-06,2.405034527049278e-06,0.8671605764795197
128,2.9041551080313198e-06,1.5831242145043464e-06,1.8344455106073716
129,2.0768959577439253e-06,1.2675801588387644e-06,1.638473072698281
130,1.2068540985474526e-06,1.5307471833980612e-06,0.7884085050990538
131,1.0937352851864017e-06,1.972200874146456e-06,0.5545760066959491
132,1.0410511362385633e-06,2.3536301769824693e-06,0.44231721126777407
133,1.0301554584863317e-06,2.0426996627289877e-06,0.5043107791529537
134,1.3003889810178813e-06,1.7528626141099232e-06,0.7418658887183802
135,2.0073147337298068e-06,1.4098490934613676e-06,1.4237798520702534
136,1.7618644106174801e-06,1.2210082141312416e-06,1.4429586879323844
137,9.414781394064586e-07,1.248301639089875e-06,0.7542072444067938
138,7.060532365383999e-07,1.2828008395965128e-06,0.5503997306085948
139,1.464176864666566e-06,1.5380022864093549e-06,0.9519991469485114
140,3.368168908448889e-06,2.111583878755207e-05,0.15950912214931512
141,3.138892873373902e-06,2.119737424354138e-05,0.1480793251706772
142,1.803690483848205e-06,3.915643230480028e-06,0.46063708506637524
143,1.5961168197143372e-06,3.536503590654515e-06,0.451326226256973
144,1.582363747517171e-06,5.864693471301289e-06,0.2698118418738205
145,1.2090863470968624e-06,5.368106202571319e-06,0.22523517633047402
146,1.3015571919721323e-06,2.6928568824075797e-06,0.48333693501321917
147,1.3000235392619318e-06,3.171372195839164e-06,0.4099246190552976
148,1.2552603929205655e-06,2.790412606482744e-06,0.44984759243286054
149,1.2160560607645715e-06,1.4734547250686767e-06,0.825309417435878
150,8.723116759183513e-07,1.455281323349106e-06,0.5994110292784217
151,1.572079780621976e-06,1.900598920202497e-06,0.8271496757740348
