Window,Alpha,Beta,AlphaBetaRatio
195,1.1090489510999578e-06,3.262084434157319e-06,0.33998168149392305
196,2.9522083755249223e-06,3.6054713457657925e-06,0.8188134344742327
197,4.940621464848652e-06,3.656539928207813e-06,1.3511739408983314
198,4.871982896106027e-06,3.329447001648317e-06,1.4633009306632734
199,3.4847523755324134e-06,3.401432072951258e-06,1.0244956538287895
200,5.971019645216552e-06,4.22413976103381e-06,1.4135468954642763
201,6.1673455271029805e-06,4.492790892713825e-06,1.3727203589877421
202,3.1561868624295015e-06,4.1050991895455386e-06,0.7688454570031746
203,2.5524262871024707e-06,4.1122315273237715e-06,0.6206912889371242
204,2.382051569324681e-06,2.761736005534457e-06,0.8625196487104861
205,7.093418226283601e-06,5.293024740754565e-06,1.3401445437552166
206,1.0379984882541224e-05,7.192776484878056e-06,1.4431123926016454
207,6.4371904389581215e-06,7.255486954946302e-06,0.887216871717987
208,7.427688138835817e-06,7.0939590902389385e-06,1.0470441180096568
209,4.030612120233522e-06,4.44573244090971e-06,0.9066249878521154
210,2.196193625693003e-06,4.4959546980887144e-06,0.4884821518834769
211,1.4763040724647357e-06,4.5630090933971035e-06,0.3235373943481769
212,1.4809436020937554e-06,4.092496579441145e-06,0.36186801218927034
213,2.0744923663468963e-06,5.663147221390149e-06,0.3663143982044784
214,2.2339833602719873e-06,6.733415418311519e-06,0.33177566234762096
215,2.684755644263619e-06,3.269710156201062e-06,0.8210989708589103
216,2.234795266591972e-06,3.2724679362125317e-06,0.6829082240538208
217,1.5339848275550967e-06,2.946292336377569e-06,0.5206492270353297
218,1.4842743929312748e-06,4.6085432488351925e-06,0.32207018851486846
219,3.317495356515847e-06,4.8356789847573365e-06,0.6860454068545506
220,4.2055901908917286e-06,3.7485428615829744e-06,1.12192666488966
221,2.116558767245534e-06,3.5472823012900694e-06,0.5966705177300908
222,4.736921931386636e-06,4.39353235674825e-06,1.0781579710255136
223,4.572696510552037e-06,4.193660576007427e-06,1.0903830740888123
224,4.496926253935144e-06,3.1118464022252735e-06,1.4450990417519978
225,1.9312191966650517e-06,2.4377386399407805e-06,0.792217494124787
226,1.6656155057177177e-06,3.171005079487223e-06,0.5252642187463985
227,3.414396253269307e-06,3.2811974766721666e-06,1.0405945626693072
228,2.171472650137701e-06,3.1293424153157435e-06,0.6939070136620393
229,2.0127360436066037e-06,3.93487300236063e-06,0.5115123264204747
230,1.951739090224674e-06,4.64553807862498e-06,0.4201319754981674
231,1.6716612095061331e-06,5.447938657108433e-06,0.30684288401907045
232,2.9152796469711444e-06,4.5880106891382486e-06,0.6354125664686958
233,2.3181547546331504e-06,3.7570182315953184e-06,0.617019831082589
234,8.487735972044159e-07,3.3082083670598762e-06,0.25656594235590774
235,1.3789610633621542e-06,3.07417585395906e-06,0.448562843789911
236,1.9636122712906647e-06,2.6857977002538226e-06,0.7311095214301109
237,2.4549815828044912e-06,2.332756891110886e-06,1.0523949547247509
238,1.6956650468159604e-06,2.5774213485157207e-06,0.657892062464857
239,3.5123288405776267e-06,2.8074206370714026e-06,1.2510874908441074
240,4.013617191736445e-06,3.8011958686297478e-06,1.0558827617539401
241,7.543599856069583e-07,3.3607061238813324e-06,0.22446472788752386
242,8.2567179936755e-07,3.526255929514306e-06,0.23414970889003942
243,2.9926943791665968e-06,4.71625547775341e-06,0.6345488265602117
244,3.433244638268373e-06,4.2765529165274726e-06,0.8028065372463906
245,2.588075592670253e-06,3.228793978485195e-06,0.8015610812940323
246,1.7817520570295882e-06,2.8852308983530632e-06,0.6175422764419448
247,3.829322531371453e-06,2.3574881390557222e-06,1.6243231378060148
248,3.5240037375302883e-06,2.591641200095776e-06,1.3597575688332382
249,1.8294052004979885e-06,3.587970831241965e-06,0.5098718151687831
250,1.1829381581167007e-06,4.970137423196107e-06,0.23800914489724473
251,9.84390554083138e-07,4.477778691999286e-06,0.2198390366728055
252,1.2183515242474683e-06,4.0490594248553475e-06,0.3008974175011012
253,1.6831528504152872e-06,5.181398816027919e-06,0.32484526093777877
254,2.531129599214664e-06,5.718753435988275e-06,0.44260163120273643
255,1.7006052392323195e-06,4.475348942144773e-06,0.3799938867822268
256,1.7751497509718657e-06,4.666330071018352e-06,0.38041667090739417
