Time(s),Filtered_Voltage
258.8334,0.001475344303914416
258.8379,0.0011535937146196539
258.8414,6.461685759355149e-06
258.8454,-0.0008341490404401644
258.8495,-0.0005812852671333104
258.854,0.0006451325989162426
258.858,0.002006477231043309
258.8615,0.0026465232655602097
258.8655,0.0023010359059042786
258.8691,0.0014031358708676907
258.8736,0.0007465039654282609
258.8776,0.0010022162039966878
258.8814,0.002313985896967778
258.8854,0.0041036379830475785
258.8894,0.005237809159210711
258.894,0.004639967283305587
258.897,0.002073097293453314
258.9018,-0.0014925073203165432
258.9058,-0.0042986569671343965
258.9098,-0.004796467362223337
258.9135,-0.00260072523199926
258.9175,0.0011841973291253829
258.9215,0.0044894192544166385
258.9259,0.005428848333212704
258.9299,0.0034630615731685117
258.9334,-0.00018007280662781584
258.9374,-0.003237729520805648
258.9414,-0.0038488603493327554
258.9459,-0.0016555156347622532
258.9499,0.0021537902299182503
258.9534,0.005742537701703143
258.9574,0.007709516130436794
258.9614,0.007613118261179503
258.9659,0.005869003780267014
258.9699,0.0034852297041583547
258.9734,0.0017444856194631427
258.9778,0.001487676380170267
258.9813,0.0022746526693835016
258.9853,0.002543469896073093
258.9893,0.0011300520860755081
258.9935,-0.0013323807742405664
258.9975,-0.0028802632670191413
259.0015,-0.002185736184612118
259.0059,0.00017394274185538383
259.009,0.002467183094496161
259.0135,0.003575328964445645
259.0175,0.0038647212163764786
259.0215,0.004442577613107064
259.0259,0.0057314597778886905
259.0299,0.006877776548691573
259.0335,0.006632165790232555
259.0375,0.00475401013604958
259.0415,0.002348804733076304
259.0459,0.0007526599889988168
259.0499,0.00030472779333434844
259.0535,0.00040421382919176305
259.0575,0.0005340322460639917
259.0615,0.0008015974026984099
259.0659,0.0014412063170832264
259.0699,0.0021552173841708462
259.0735,0.0022169974379096123
259.078,0.0011915381792704468
259.0816,-0.0005467696121896604
259.0857,-0.0020273366335177706
259.0897,-0.002415818763876502
259.0935,-0.0015897795807126606
259.0975,-0.00010302723192638034
259.1015,0.0012919866580982104
259.1058,0.0020905646805436822
259.1098,0.002220005106665545
259.1136,0.0020216180689519173
259.1178,0.002058842896468781
259.1214,0.0027183473152718293
259.1254,0.003795312294584903
259.1294,0.004482766564583224
259.1331,0.003952039037063052
259.1372,0.002122816979681961
259.1417,-8.420064194951309e-05
259.1451,-0.0013598116868541313
259.1491,-0.0010458518142756768
259.1536,0.0003570906260902452
259.1576,0.0017436884274588964
259.1616,0.0024224178673682385
259.166,0.002474852431238348
259.17,0.002184092782963981
259.1737,0.0014442678395494338
259.1766,-1.5090010267988438e-05
259.1817,-0.0019391842388704165
259.186,-0.0034130920235399278
259.19,-0.0036205494939705114
259.1935,-0.0026865272500023268
259.1975,-0.0016210924104834601
259.2015,-0.001415179471124371
259.206,-0.0022840483832324856
259.21,-0.0037272500758351954
259.2134,-0.005026302638280033
259.2174,-0.005520405669902545
259.2214,-0.0046856417461453624
259.226,-0.0024624461753295817
259.2291,0.0002830124387764991
259.2336,0.0019392228042114722
259.2376,0.001276009615763976
259.2416,-0.0014113578330802734
259.2457,-0.004380200065180378
259.2497,-0.005766367915225178
259.2532,-0.004905267524745598
259.2572,-0.0025728246325676506
259.2618,-0.0002309603889962322
259.2658,0.0009590305376692292
259.2698,0.0007263553586472634
259.2733,-0.0004244608077732523
259.2773,-0.0019530501984667595
259.2814,-0.003913369519067695
259.2854,-0.006602084386411129
259.2894,-0.009536471063717931
259.2936,-0.011269707558486088
259.2976,-0.010675964186703617
259.3016,-0.008226580279304861
259.306,-0.005585338541897391
259.31,-0.004044568194450539
259.3135,-0.003706695379849926
259.3175,-0.004046888783609787
259.3215,-0.00469314822090562
259.326,-0.005438922861168389
259.33,-0.0059219619482140705
259.3335,-0.005725516308951744
259.3375,-0.004718692613748476
259.3415,-0.0030632703425589386
259.346,-0.00099626413202999
259.35,0.0011608986304425385
259.3535,0.002902960252591928
259.3575,0.0037708064734222257
259.3615,0.003727494960175842
259.366,0.003147079773783098
259.37,0.0024463160456398595
259.3736,0.0018756424317871634
259.3775,0.0016200158379532181
259.3816,0.0018594796531508707
259.3856,0.0025793180913778655
259.3896,0.0033827797276451774
259.3932,0.0036585483380613187
259.3972,0.0030395922905507447
259.4017,0.0016960332656424768
259.4057,0.0001825351163147876
259.4097,-0.0009180016372987723
259.4133,-0.0011820658742847298
259.4173,-0.00037927299260710463
259.4218,0.0014311423320429683
259.4259,0.003805532404478782
259.4299,0.006063702786936913
259.4339,0.007655679705720909
259.4379,0.008441806708540042
259.4414,0.00863828456128634
259.4454,0.008466069422163923
259.4494,0.007862273952078412
259.454,0.0066331645101561365
259.458,0.004888694285058808
259.4615,0.0031580472276672633
259.4655,0.0020198537670964673
259.4695,0.001764997024757273
259.4741,0.002414820225834961
259.4771,0.0037196186539723087
259.4816,0.004907035223454705
259.486,0.00477161972347215
259.49,0.002568913613593144
259.4936,-0.0010753058670204783
259.4976,-0.004445884718612702
259.5016,-0.006064137571366203
259.506,-0.005676259954824421
259.5101,-0.004089640707772262
259.5134,-0.002355269544045882
259.5174,-0.001144271912659784
259.522,-0.0006027099511579706
259.5261,-0.00048409948435976864
259.5301,-0.0003418605696539458
259.5338,0.0002540243319769566
259.5378,0.0014379643667788615
259.5422,0.0028135191584124962
259.5462,0.0035734109339433536
259.5493,0.0031473144820800387
259.5538,0.0018962219280211552
259.5578,0.0009501892050396907
259.5613,0.0010910193788016065
259.5653,0.0018902823327465244
259.5693,0.002180269456291971
259.5739,0.0013293835775664334
259.5779,-0.00011183853194174516
259.582,-0.000959349818577555
259.586,-0.0004169354431083519
259.59,0.0014010881257380478
259.5935,0.0037181188793170695
259.5975,0.005625300718848761
259.602,0.006351753882174689
259.606,0.005383168330140435
259.61,0.0028308747668167513
259.6136,-0.0002401995488022329
259.6177,-0.002302142001459513
259.6222,-0.0025444753449822563
259.6254,-0.0015278537218836553
259.6295,-0.000593902580553185
259.6341,-0.0007439545834449845
259.6373,-0.002099442994015598
259.6417,-0.004112864604632085
259.6457,-0.005936031708586534
259.6497,-0.006694442446296567
259.6533,-0.005925450922502653
259.6573,-0.004098793516357654
259.6612,-0.0025602315241844403
259.6653,-0.0025721414340869548
259.6693,-0.004169823219931179
259.6738,-0.005983785019491818
259.6778,-0.006321376993767452
259.6819,-0.004531059606177748
259.6859,-0.0014392560211302276
259.6899,0.0013685021675254444
259.6935,0.00269560326332029
259.6975,0.0024671069447153382
259.7015,0.0016051517063621814
259.7057,0.0011512201032021735
259.7097,0.0013302743988143292
259.7132,0.0014160110235109196
259.7174,0.0005481629211229531
259.722,-0.0013100978882347233
259.726,-0.0032418737873273263
259.73,-0.004217966699570029
259.7335,-0.004045013597892043
259.7375,-0.0033900735975267195
259.7421,-0.0028631569112427487
259.7453,-0.0022971482891316892
259.7492,-0.0011469080417229995
259.7532,0.0005623766238372337
259.7572,0.0020612883392073043
259.7617,0.0026484028339551786
259.7658,0.0023293745623115558
259.7698,0.001521028012257905
259.7734,0.0004995121554045715
259.7773,-0.0005375755796535457
259.7815,-0.0010961407589919747
259.7856,-0.000545781248968674
259.7896,0.0011829340946641412
259.7941,0.003259198417647816
259.7981,0.004527346806355468
259.8015,0.004448713185565339
259.8055,0.003418235740734931
259.8096,0.0021948357575063767
259.8135,0.001154248980763123
259.8175,0.00015483958591850375
259.822,-0.000979570485386966
259.826,-0.0020546692574787435
259.83,-0.002703491097623692
259.8337,-0.002883590160408774
259.8377,-0.0029502368916075614
259.8413,-0.0031683098607809333
259.8463,-0.003336387946869348
259.8494,-0.0030670662056464593
259.8541,-0.0023347526764072413
259.858,-0.001518487799662803
259.8617,-0.0008939841343157682
259.8658,-0.00028753708788782574
259.8699,0.0006701981964422671
259.8735,0.0020532723236064434
259.8775,0.0034494362653028064
259.8816,0.00417749140543625
259.8856,0.003764084602421689
259.8897,0.00247012745736623
259.8932,0.0014273740388625305
259.8972,0.0019282346866028779
259.9017,0.004188188913877037
259.9057,0.006805608971588455
259.9097,0.007768009517310758
259.9133,0.006242133872817605
259.9173,0.00339645090752656
259.9218,0.0014046477273702287
259.9258,0.001565094820752743
259.9298,0.003293271723851548
259.9334,0.004897993603296425
259.9378,0.005306760490092414
259.9413,0.0049375396401955835
259.9454,0.004875254614642423
