Time(s),Alpha,Beta,CI,AI_State
57.72,4.451336774397398e-06,4.965396310304248e-06,0.8964715998922246,Calm
58.27,4.186434245922538e-06,5.933468717444202e-06,0.705562706282509,Calm
58.83,3.077175298901281e-06,6.454548226904133e-06,0.47674526407206363,Calm
59.38,3.1099442304087334e-06,5.000838829779773e-06,0.621884515031589,Calm
59.93,4.812985420057721e-06,6.1472584871483784e-06,0.7829482736279718,Calm
60.48,3.6304211580398807e-06,5.6796149613816385e-06,0.6392019851213179,Calm
61.03,2.348678659844329e-06,4.397559120740319e-06,0.5340868866929377,Calm
61.58,2.846569607141213e-06,3.1984225843085143e-06,0.8899917168877263,Calm
62.13,6.964426852494581e-06,2.6569569452104904e-06,2.621204255887121,Calm
62.68,1.0228830650887135e-05,3.918434205768404e-06,2.6104382806349213,Calm
63.24,6.087159584864325e-06,5.044908566846386e-06,1.2065946298546018,Calm
63.79,8.664886784100943e-06,3.7498724487189263e-06,2.3107150716716083,Calm
64.34,1.2225116946542767e-05,3.244089821339389e-06,3.76842739252373,Calm
64.89,1.1236421320682981e-05,3.4513070669155815e-06,3.255700261618542,Calm
65.45,1.2999932211177989e-05,5.072669711311599e-06,2.56273973095258,Calm
66.00,8.889487655662725e-06,4.510400266562626e-06,1.9708866464832397,Calm
66.55,1.2575423167210632e-05,3.904888903858829e-06,3.2204304595666065,Calm
67.10,8.529163175414211e-06,4.196424154609249e-06,2.0324835767723783,Calm
67.65,5.313190762077604e-06,5.293566552421528e-06,1.0037071810586946,Calm
68.20,4.521630922568813e-06,6.125268108948905e-06,0.7381931438989247,Calm
68.75,6.939180947769783e-06,4.190495709221803e-06,1.6559331948483071,Calm
69.30,1.3166546182684304e-05,3.3525262869352963e-06,3.927350617352048,Calm
69.85,1.4813203204466715e-05,5.661200309408705e-06,2.616618807825563,Calm
70.40,5.683946382779161e-06,6.130099001437633e-06,0.9272193453068474,Calm
70.96,9.798671709769287e-06,4.40945420533516e-06,2.2221960481897094,Calm
71.51,1.3621253736930085e-05,3.735764973911882e-06,3.6461752364112665,Calm
72.05,1.0341330802884625e-05,4.376236342669518e-06,2.3630649702471005,Calm
72.61,8.7917749253495e-06,4.841158834270321e-06,1.8160476089139992,Calm
73.16,1.1615741433044625e-05,5.760234708216846e-06,2.016539606706482,Calm
73.71,1.585250059260907e-05,7.59469538504215e-06,2.087312234251129,Calm
74.26,2.1072796295355284e-05,7.496097608231841e-06,2.8111688770186487,Calm
74.81,1.2831208570786308e-05,7.2681184213808605e-06,1.7654099488858526,Calm
75.36,9.801880455116827e-06,1.2169669876911399e-05,0.8054351970313672,Calm
75.90,3.88576473585138e-05,2.648994940673415e-05,1.4668826565835413,Calm
76.45,1.6229144800443808e-05,9.237080279061063e-06,1.7569561279263322,Calm
77.01,3.521052495279921e-06,6.774476167808423e-06,0.5197527318808177,Calm
77.55,3.6531099013244326e-05,4.60533413580911e-05,0.7932344958250502,Calm
78.11,4.376726774209675e-05,5.956089184435121e-05,0.7348323100411678,Calm
