Time(s),Alpha,Beta,AlphaBetaRatio,AI_State
23.87,1.3544578841602569e-05,3.7986308355496715e-06,3.5656475788183912,Not Calm
24.37,1.4037453275163451e-05,3.0292948492669227e-06,4.633901278563378,Calm
24.87,1.2389733724421367e-05,6.34377122544402e-06,1.953054939107482,Not Calm
25.37,1.8866500251661623e-05,7.960101326106104e-06,2.370133177800976,Not Calm
25.87,2.5365490122988563e-05,6.92797377736375e-06,3.6613143955404377,Not Calm
26.37,1.161665368240503e-05,4.996825261840813e-06,2.3248068670957474,Not Calm
26.87,1.34392061063621e-05,3.4580623566356065e-06,3.886340013670915,Not Calm
27.37,1.556956787983454e-05,3.722789959146573e-06,4.182231082250949,Not Calm
27.87,1.6403397811088824e-05,2.880422840582513e-06,5.694788133179619,Calm
28.37,1.268676746546721e-05,2.5449924730245465e-06,4.984992136495347,Calm
28.87,1.3262750021153468e-05,3.0817597768639724e-06,4.303628764552754,Not Calm
29.37,2.0529819664433738e-05,3.523476373810485e-06,5.8265807646757795,Not Calm
29.87,1.4502613021401757e-05,2.9463747336364186e-06,4.9221889041597295,Calm
30.37,8.954632833019163e-06,3.567496450522545e-06,2.510060754708682,Not Calm
30.87,1.690876312085084e-05,2.9177646238760243e-06,5.795108687824468,Calm
31.37,1.1242838960088999e-05,1.9818579438493035e-06,5.67287831854001,Calm
31.87,6.089736094817458e-06,2.1070153019232086e-06,2.8902192068842423,Calm
32.37,1.2914164494438106e-05,3.970081871383332e-06,3.252871077426498,Not Calm
32.87,1.5054202933948893e-05,2.5856988438079502e-06,5.8221022026596945,Calm
33.37,7.673633004383998e-06,2.853497810962519e-06,2.689202344891791,Not Calm
33.87,4.3454455942446646e-06,3.169618258369046e-06,1.3709681229816775,Not Calm
34.37,3.6612804655186266e-06,1.9407475109427173e-06,1.8865310633530898,Calm
34.87,2.9498001548701413e-06,1.869093717976809e-06,1.5781981002339132,Calm
35.37,1.72496270130393e-06,3.0208796226592772e-06,0.5710133857586311,Not Calm
35.87,4.929287227263704e-06,7.287392095916533e-06,0.6764130655225501,Not Calm
36.37,9.604527425157915e-06,1.5515952654221883e-05,0.619009843558947,Not Calm
36.87,1.1620925199926278e-05,1.2016175568377822e-05,0.9671068081352191,Not Calm
37.37,2.6049074431722746e-05,3.835267818690059e-05,0.6791983158198284,Not Calm
37.87,7.949904432968606e-05,5.787795517725477e-05,1.3735634592862755,Not Calm
